Wall time,Step,Value
1758083186.2867336,300,20.101869583129883
1758083191.9473388,301,20.10604476928711
1758083197.5832567,302,20.1092529296875
1758083203.227225,303,20.104869842529297
1758083208.8990948,304,20.10470199584961
1758083214.5762897,305,20.104707717895508
1758083220.2240868,306,20.10658073425293
1758083225.8508258,307,20.111751556396484
1758083231.4989188,308,20.11708641052246
1758083237.132012,309,20.124622344970703
1758083242.7883515,310,20.12812042236328
1758083248.4741397,311,20.126014709472656
1758083254.1375895,312,20.127120971679688
1758083259.8498287,313,20.125133514404297
1758083265.525973,314,20.13034439086914
1758083271.2220273,315,20.13726043701172
1758083276.9160337,316,20.143232345581055
1758083282.6253576,317,20.146644592285156
1758083288.3242989,318,20.14553451538086
1758083294.0474703,319,20.15266227722168
1758083299.7616248,320,20.153884887695312
1758083305.4850445,321,20.155372619628906
1758083311.2131665,322,20.162126541137695
1758083316.9205532,323,20.159353256225586
1758083322.638485,324,20.15463638305664
1758083328.357954,325,20.161479949951172
1758083334.050856,326,20.166244506835938
1758083339.7415593,327,20.169546127319336
1758083345.4342957,328,20.172399520874023
1758083351.1360166,329,20.17367935180664
1758083356.8412335,330,20.177108764648438
1758083362.5598764,331,20.179479598999023
1758083368.2485125,332,20.17793083190918
1758083373.8973875,333,20.1851749420166
1758083379.5573094,334,20.18856430053711
1758083385.1731536,335,20.189956665039062
1758083390.7784164,336,20.1876163482666
1758083396.382684,337,20.190052032470703
1758083401.9369762,338,20.189172744750977
1758083407.536121,339,20.18720817565918
1758083413.0873678,340,20.192155838012695
1758083418.697707,341,20.19192886352539
1758083424.2777832,342,20.197816848754883
1758083429.864494,343,20.195281982421875
1758083435.510567,344,20.199054718017578
1758083441.1553867,345,20.209911346435547
1758083446.8180633,346,20.212478637695312
1758083452.4870422,347,20.20656394958496
1758083458.1276076,348,20.215312957763672
1758083463.739012,349,20.217912673950195
1758083469.3922021,350,20.221940994262695
1758083475.043788,351,20.224262237548828
1758083480.6946878,352,20.224882125854492
1758083486.3473144,353,20.23113441467285
1758083492.0072675,354,20.22865867614746
1758083497.705248,355,20.23227882385254
1758083503.3959308,356,20.230573654174805
1758083509.1077337,357,20.2374210357666
1758083514.8172781,358,20.234237670898438
1758083520.5363207,359,20.236318588256836
1758083526.25274,360,20.23552703857422
1758083531.988326,361,20.237943649291992
1758083537.705464,362,20.237865447998047
1758083543.407142,363,20.235658645629883
1758083549.124362,364,20.241893768310547
1758083554.832122,365,20.241029739379883
1758083560.5631032,366,20.24530601501465
1758083566.2826285,367,20.249608993530273
1758083571.972449,368,20.241661071777344
1758083577.6700222,369,20.249799728393555
1758083583.3625324,370,20.251596450805664
1758083589.0874178,371,20.258277893066406
1758083594.7949393,372,20.25697898864746
1758083600.4865134,373,20.256916046142578
1758083606.1515906,374,20.264366149902344
1758083611.7856286,375,20.264144897460938
1758083617.4060931,376,20.267959594726562
1758083622.9690292,377,20.269704818725586
1758083628.5592499,378,20.26868438720703
1758083634.1525764,379,20.265602111816406
1758083639.7114084,380,20.266189575195312
1758083645.322222,381,20.264883041381836
1758083650.8906355,382,20.270174026489258
1758083656.4554992,383,20.27505874633789
1758083662.0362868,384,20.279207229614258
1758083667.6525867,385,20.280542373657227
1758083673.2921467,386,20.2783145904541
1758083678.9335163,387,20.281169891357422
1758083684.5814536,388,20.2847843170166
1758083690.2380955,389,20.285381317138672
1758083695.853703,390,20.287193298339844
1758083701.5125945,391,20.287565231323242
1758083707.1411996,392,20.287879943847656
1758083712.7496958,393,20.282386779785156
1758083718.3599648,394,20.283611297607422
1758083723.9845178,395,20.294612884521484
1758083729.6377845,396,20.293006896972656
1758083735.3027043,397,20.29231834411621
1758083740.9683127,398,20.297147750854492
1758083746.6525445,399,20.293485641479492
1758083752.3348634,400,20.29655647277832
1758083758.0509372,401,20.298137664794922
1758083763.7262099,402,20.2943115234375
1758083769.4255376,403,20.298458099365234
1758083775.1045141,404,20.30045509338379
1758083780.8040752,405,20.299638748168945
1758083786.4859054,406,20.3020076751709
1758083792.1924117,407,20.307811737060547
1758083797.8729627,408,20.304597854614258
1758083803.5390177,409,20.305505752563477
1758083809.195641,410,20.313547134399414
1758083814.8631754,411,20.302186965942383
1758083820.5078104,412,20.313961029052734
1758083826.1635983,413,20.309160232543945
1758083831.8241694,414,20.314516067504883
1758083837.4647079,415,20.31078338623047
1758083843.0860567,416,20.314176559448242
1758083848.6869385,417,20.312252044677734
1758083854.253367,418,20.31278419494629
1758083859.7975492,419,20.315664291381836
1758083865.3464432,420,20.316753387451172
1758083870.9042044,421,20.314468383789062
1758083876.4403162,422,20.31476593017578
1758083881.9624069,423,20.3140811920166
1758083887.4734619,424,20.314239501953125
1758083893.0057595,425,20.319673538208008
1758083898.5736992,426,20.315418243408203
1758083904.1645563,427,20.31870460510254
1758083909.7662396,428,20.32965660095215
1758083915.3990781,429,20.329544067382812
1758083921.0305147,430,20.327577590942383
1758083926.6793797,431,20.324949264526367
1758083932.2804961,432,20.32848358154297
1758083937.8779805,433,20.33635711669922
1758083943.477726,434,20.335508346557617
1758083949.0790386,435,20.3350887298584
1758083954.6894848,436,20.33523178100586
1758083960.29732,437,20.335304260253906
1758083965.9598227,438,20.335763931274414
1758083971.6035259,439,20.336631774902344
1758083977.240174,440,20.341339111328125
1758083982.909027,441,20.334596633911133
1758083988.5822527,442,20.341781616210938
1758083994.2503762,443,20.340557098388672
1758083999.931217,444,20.34990882873535
1758084005.6045306,445,20.3467960357666
1758084011.2596042,446,20.343212127685547
1758084016.9492714,447,20.342863082885742
1758084022.610766,448,20.340293884277344
1758084028.2671123,449,20.352285385131836
1758084033.9647126,450,20.351486206054688
1758084039.646858,451,20.349096298217773
1758084045.2806919,452,20.35299301147461
1758084050.9388313,453,20.353912353515625
1758084056.5850215,454,20.356225967407227
1758084062.243179,455,20.356319427490234
1758084067.9094775,456,20.35333824157715
1758084073.5659177,457,20.356218338012695
1758084079.1687334,458,20.35820198059082
1758084084.771881,459,20.35551643371582
1758084090.3373358,460,20.36171531677246
1758084095.9271922,461,20.361465454101562
1758084101.4974031,462,20.361663818359375
1758084107.009305,463,20.36118507385254
1758084112.565178,464,20.361204147338867
1758084118.0311635,465,20.36548614501953
